audio-0.300-1.500|From behind my seat.
audio-2034.400-2040.600|Freshman Hockey didn't appeal to a smudge but there was always the chance that we run into someone interesting while we were there.
audio-2040.400-2048.500|There was always that chance and everything we did which is why it's not really an exaggeration to say as I sat there in my Icelandic sweater.
audio-2048.300-2051.200|I felt as if I were waiting for my life to start.
audio-2052.500-2060.300|And there was Mike in the box across the ice from us his helmet off big and Young and Beautiful.
audio-2061.400-2064.700|I know Jamie number 24.
audio-2064.500-2068.500|I said by the gate next to number seven.
audio-2069.300-2070.600|Sevens in my math class.
audio-2070.400-2074.300|She said that grow kind of lad 24 is good.
audio-2075.600-2076.500|For a moment.
audio-2076.300-2087.700|I had the strangest feeling like a clear soundproof bubble head suddenly surrounded me the world still there on the other side, but beyond reach then everything was normal again.
audio-2087.500-2091.200|Yeah, he is I said, isn't he?
audio-2092.100-2095.900|I don't remember a thing about the game for once it was over.
audio-2095.700-2103.400|I talked to Jamie into waiting around outside the locker room where there was a bulletin board studded with colorful notices we can pretend to be reading.
audio-2104.300-2106.400|Finally out of the corner of my eye.
audio-2106.200-2110.800|I saw the math class Guy come out and I whisper to Jamie to go.
audio-2110.600-2111.100|Say hi.
audio-2112.200-2113.300|That was a rooster.
audio-2113.100-2115.800|Mike was right behind him.
audio-2116.900-2126.300|Jamie and rooster talked about the game for a few minutes and then together the four of us walked out into the frosty Madison dusk ending up in a diner on Regent Street.
audio-2126.100-2128.200|That was famous for its hot chocolate.
audio-2128.900-2132.600|Jamie and I sat on one side of the booth Mike and rooster on the other.
audio-2133.400-2137.500|Our orders came top with fluted Hills of reddi whip.
audio-2138.700-2142.500|At the school the following week the four of us met in the lunchroom and ain't together.
audio-2142.300-2154.900|I thought Mike Smothers sandwiches were a clue about her him the whole mayor family a perfect ruffle of lettuce for the address of the bread mustard on the meat and mayonnaise on the cheese.
audio-2155.700-2159.000|I lived alone with my mother and I was in chanted.
audio-2158.800-2163.400|I wanted to see where he lived even more than I wanted him to kiss me.
audio-2163.200-2166.400|But it all happened at once on Christmas Eve.
audio-2166.200-2168.200|Thanks to a piece of mistletoe.
audio-2168.000-2170.200|He told me later it got in his mother to hang.
audio-2171.200-2174.000|The mistletoe hung in the doorway to the kitchen.
audio-2173.800-2177.200|I smelled the dissolved end of his certs.
audio-2177.000-2179.000|I knew it.
audio-2178.800-2193.500|He said when we Departed you want 31 tell me my mother and I've been alone for over 10 years by then living the quiet still life of a girl and a woman left long before by a man.
audio-2194.300-2198.500|Life at the mayor's was the exact opposite and I never really looked back.
audio-2199.300-2200.600|All through high school.
audio-2200.400-2210.300|I went home from school with Mike stayed for dinner several times a week hung out there on weekends when they rented a cabin on Lake Superior each summer.
audio-2210.100-2218.300|I went to I have three memories of my father exactly three which is fitting given that was a number of years.
audio-2218.100-2219.200|He was in my life.
audio-2220.400-2226.400|I used to try to come up with others, but it was futile and exercise that led to remembering things.
audio-2226.200-2228.700|I hadn't witnessed stories.
audio-2228.500-2230.600|My mother had told me scenes.
audio-2230.400-2233.300|I've seen captured in photographs that it since disappeared.
audio-2234.600-2238.500|Memory is strange part movie part dream.
audio-2239.200-2245.300|You can never know if what you remember is the essential thing or something else entirely a Gracenote.
audio-2246.000-2247.800|Of my father hears what I have.
audio-2247.600-2260.500|It's late at night and from a darkened hallway see a man in a plaid bathrobe yelling at my mother who's standing before him in a long pink nightgown for hands clasped in front of her chest.
audio-2261.400-2265.900|I watch for a long time, but they don't see me and know the man is yelling.
audio-2265.700-2267.400|The memory is soundless.
audio-2268.400-2287.000|next I'm out of frost edged window while the same man hammers fence post Into The Frozen Ground each strike ringing out to the snowy World beyond our yard to the high Frozen branches of black trees into the endless sky To keep up that goddamn bitch Hound.
audio-2286.800-2290.200|He says later or maybe earlier but not to me.
audio-2290.000-2291.900|Although no one else is around.
audio-2293.200-2296.000|Finally very early one morning.
audio-2295.800-2303.900|He's raising the shade in my bedroom on manila panel that he snaps up with a thread wrapped ring letting Pale Light flood in.
audio-2304.800-2307.300|He's dressed in a suit coming to say goodbye.
audio-2308.500-2310.800|On my bed down past my feet.
audio-2310.600-2312.600|He leaves of all things.
audio-2312.400-2319.300|My mother will say again and again a monogrammed pencil sharpener from his desk as a souvenir.
audio-2320.800-2321.700|That's it.
audio-2321.500-2322.500|That's all I remember.
audio-2323.600-2341.400|what I don't know is nearly infinite his smell the tenor of his voice whether or not he ever touched me a whole book of things an entire Encyclopedia of volume that I tried and tried to fill out the mayor's I don't have the pencil sharpener anymore.
audio-2342.100-2352.600|When I was in 4th grade 6 years after his departure, I took it to school one morning and it recess snuck out the back gate and heaved it into the dumpster behind the cafeteria.
audio-2355.400-2357.000|Mike didn't wake up.
audio-2357.800-2358.700|Late one night.
audio-2358.500-2363.100|I went out for a walk at the base of a tree a tennis ball.
audio-2362.900-2363.800|Call my eye.
audio-2365.000-2379.400|I remember to summer when Mike and I played tennis almost every day playing the game of form of conversation a kind of physical talking I suggested this to him and he said yeah, we're saying take that take that.
audio-2380.400-2382.500|But a few days later he brought it up again.
audio-2383.400-2384.500|I know what you meant.
audio-2384.300-2388.400|He said and then you're a thoughtful person.
audio-2389.800-2394.000|They were done playing done with that day's physical conversation.
audio-2393.800-2399.100|It was 95 degrees out and we sat under shade tree.
audio-2399.800-2403.100|He reached for my hand and traced the lines on my forefinger.
audio-2404.000-2406.600|This is talking to he said.
audio-2407.500-2408.800|What was the words be?
audio-2409.900-2415.600|The usual three that I'm always saying whether I'm saying them or not because I'm always thinking them.
audio-2416.500-2423.500|a feeling of pleasure flowed through me We sat close are dampness combining.
audio-2424.400-2431.800|I actually kind of liked us when he said Your body like working he nudged me.
audio-2432.600-2437.600|I'm speaking for myself here, aren't I I'll bet you're wishing you could step into a cool shower.
audio-2438.800-2442.300|It was true, but I also wanted to be there with him.
audio-2443.200-2447.000|He has his arm off me and got to his feet then held out his hand.
audio-2448.200-2450.300|What I'm good for a while longer.
audio-2451.200-2452.300|He shook his head.
audio-2452.100-2456.800|Let's go in the spirit of always leave a party at its peak.
audio-2457.500-2459.000|What is in the party us?
audio-2459.700-2460.800|We'll take it with us.
audio-2460.600-2463.600|He said that's the idea.
audio-2463.400-2465.000|Right, right.
audio-2466.200-2469.000|This is what I love the certainty this plan.
audio-2468.800-2481.400|It was what I'd always loved how we'd somehow made this thing together a party that would go on and on or house so big the rooms, we hadn't even discovered yet rooms.
audio-2481.200-2483.600|We could still find it inhabit together.
audio-2484.400-2501.600|I saw an enormous house on a cliff beautiful in every light now years later Mike lakehoma toast across town, but I felt suddenly that I was in a place where that grand old house invisible for so long had come into view again.
